,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,YFI-USD,0.0002545003,4.0
1,UMA-USD,ALGO-USD,10.687793,4.0
2,UMA-USD,NEAR-USD,0.9344453,4.0
3,UMA-USD,ENJ-USD,6.347669,3.0
4,UMA-USD,EOS-USD,2.7447762,3.0
5,UMA-USD,LTC-USD,0.029685842,6.0
6,SOL-USD,AAVE-USD,0.7126592,7.0
7,SOL-USD,XTZ-USD,77.3911,6.0
8,ZEC-USD,BCH-USD,0.1307235,6.0
9,ZEC-USD,MKR-USD,0.022532536,4.0
10,ZEC-USD,MATIC-USD,35.27039,15.0
11,ZEC-USD,SUSHI-USD,25.528736,2.0
12,ETC-USD,RUNE-USD,3.5221934,3.0
13,ETC-USD,DOGE-USD,214.73083,3.0
14,ETC-USD,ALGO-USD,101.097435,8.0
15,ETC-USD,DOT-USD,2.8604674,8.0
16,ETC-USD,1INCH-USD,55.252674,3.0
17,ETC-USD,UNI-USD,3.2916746,5.0
18,ETC-USD,LTC-USD,0.2808635,6.0
19,XTZ-USD,1INCH-USD,2.5383217,4.0
20,LINK-USD,BCH-USD,0.06310362,6.0
21,LINK-USD,XLM-USD,118.284744,5.0
22,BCH-USD,RUNE-USD,40.0005,5.0
23,BCH-USD,MKR-USD,0.17235592,3.0
24,BCH-USD,DOT-USD,32.48879,13.0
25,BCH-USD,BTC-USD,0.0054732724,5.0
26,BCH-USD,ADA-USD,378.0053,17.0
27,BCH-USD,ETH-USD,0.10322693,5.0
28,YFI-USD,ATOM-USD,743.94464,3.0
29,RUNE-USD,DOGE-USD,60.94586,3.0
30,RUNE-USD,ALGO-USD,28.69833,4.0
31,RUNE-USD,DOT-USD,0.81203955,3.0
32,RUNE-USD,BTC-USD,0.00013677742,5.0
33,RUNE-USD,1INCH-USD,15.682042,3.0
34,RUNE-USD,ADA-USD,9.450747,6.0
35,RUNE-USD,UNI-USD,0.93428063,4.0
36,RUNE-USD,ETH-USD,0.0025797633,4.0
37,RUNE-USD,LTC-USD,0.07970567,7.0
38,DOGE-USD,UNI-USD,0.015328987,4.0
39,DOGE-USD,LTC-USD,0.001307803,10.0
40,MKR-USD,MATIC-USD,1565.2981,11.0
41,MKR-USD,SUSHI-USD,1132.8663,3.0
42,MKR-USD,UNI-USD,216.89656,4.0
43,COMP-USD,ENJ-USD,152.08148,3.0
44,COMP-USD,ZRX-USD,135.53452,2.0
45,COMP-USD,AVAX-USD,1.2811414,11.0
46,ALGO-USD,1INCH-USD,0.5462437,6.0
47,MATIC-USD,SNX-USD,0.20653382,10.0
48,CRV-USD,NEAR-USD,0.277422,7.0
49,CRV-USD,DOT-USD,0.08977245,12.0
50,CRV-USD,BTC-USD,1.5125182e-05,9.0
51,CRV-USD,ADA-USD,1.0444332,18.0
52,CRV-USD,ZRX-USD,1.6795201,4.0
53,CRV-USD,AVAX-USD,0.015872618,14.0
54,CRV-USD,ETH-USD,0.00028526827,9.0
55,CRV-USD,XLM-USD,5.179694,8.0
56,CRV-USD,ATOM-USD,0.056225866,4.0
57,NEAR-USD,EOS-USD,2.936249,3.0
58,DOT-USD,ADA-USD,11.636806,6.0
59,DOT-USD,ETH-USD,0.0031759287,8.0
60,BTC-USD,ADA-USD,69067.31,19.0
61,BTC-USD,ETH-USD,18.860035,5.0
62,ZRX-USD,AVAX-USD,0.009451347,8.0
63,ZRX-USD,EOS-USD,0.48513517,4.0
64,SUSHI-USD,UNI-USD,0.19143844,4.0
65,SUSHI-USD,LTC-USD,0.01633381,5.0
66,UNI-USD,ATOM-USD,0.5441559,3.0
67,ATOM-USD,LTC-USD,0.15672928,5.0
