,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,LINK-USD,0.14478448,4.0
1,UMA-USD,RUNE-USD,0.36690345,3.0
2,UMA-USD,DOGE-USD,22.469574,3.0
3,UMA-USD,DOT-USD,0.29644012,2.0
4,UMA-USD,CELO-USD,3.7260718,2.0
5,UMA-USD,ETH-USD,0.00094819564,4.0
6,UMA-USD,EOS-USD,2.7461581,5.0
7,SOL-USD,XTZ-USD,77.366844,9.0
8,SOL-USD,TRX-USD,693.8738,23.0
9,SOL-USD,ENJ-USD,215.47955,6.0
10,ZEC-USD,MKR-USD,0.022503667,3.0
11,ZEC-USD,MATIC-USD,34.95778,3.0
12,ZEC-USD,SUSHI-USD,25.560066,2.0
13,ETC-USD,DOGE-USD,214.50513,2.0
14,ETC-USD,DOT-USD,2.829643,4.0
15,ETC-USD,LTC-USD,0.2811952,5.0
16,XTZ-USD,TRX-USD,8.972043,12.0
17,XTZ-USD,ENJ-USD,2.7849615,2.0
18,LINK-USD,BCH-USD,0.06344423,4.0
19,LINK-USD,DOGE-USD,155.178,2.0
20,LINK-USD,ALGO-USD,72.97094,3.0
21,LINK-USD,CELO-USD,25.7301,3.0
22,LINK-USD,XLM-USD,119.086525,3.0
23,BCH-USD,DOGE-USD,2445.6099,4.0
24,BCH-USD,DOT-USD,32.261246,6.0
25,BCH-USD,LTC-USD,3.2061098,3.0
26,RUNE-USD,DOGE-USD,61.226803,3.0
27,RUNE-USD,DOT-USD,0.8077257,2.0
28,RUNE-USD,BTC-USD,0.00013721654,3.0
29,RUNE-USD,CELO-USD,10.15238,3.0
30,RUNE-USD,1INCH-USD,15.752133,3.0
31,RUNE-USD,ADA-USD,9.38828,6.0
32,RUNE-USD,ETH-USD,0.0025838113,3.0
33,RUNE-USD,XLM-USD,46.98715,3.0
34,RUNE-USD,LTC-USD,0.08025516,4.0
35,DOGE-USD,DOT-USD,0.0131917875,3.0
36,DOGE-USD,LTC-USD,0.0013107809,7.0
37,MKR-USD,MATIC-USD,1553.3967,2.0
38,MKR-USD,SUSHI-USD,1135.7543,2.0
39,COMP-USD,ZRX-USD,135.85402,3.0
40,ALGO-USD,CELO-USD,0.35253325,2.0
41,ALGO-USD,1INCH-USD,0.5468907,7.0
42,MATIC-USD,SNX-USD,0.20496643,4.0
43,TRX-USD,ENJ-USD,0.31026545,17.0
44,CRV-USD,NEAR-USD,0.28100768,4.0
45,CRV-USD,ENJ-USD,1.9005237,7.0
46,CRV-USD,ZRX-USD,1.6903406,3.0
47,CRV-USD,AVAX-USD,0.016106194,16.0
48,DOT-USD,BTC-USD,0.00016983798,5.0
49,DOT-USD,LTC-USD,0.09933391,7.0
50,CELO-USD,ETH-USD,0.00025444778,6.0
51,1INCH-USD,XLM-USD,2.9827545,3.0
52,ADA-USD,LTC-USD,0.008539183,12.0
53,SUSHI-USD,SNX-USD,0.28031194,5.0
54,SUSHI-USD,UNI-USD,0.19118546,4.0
55,SUSHI-USD,ETH-USD,0.0005273849,7.0
56,SUSHI-USD,LTC-USD,0.016385075,2.0
57,ATOM-USD,LTC-USD,0.15716782,3.0
